Código,Descrição, Porte  ,Número de Auxiliares,Porte Anestésico,Filme m² 
30301262,Triquíase com ou sem enxerto , 5B ,,3,
30302013,Correção da enoftalmia, 8A ,1,4,
30302021,Descompressão de órbita ou nervo ótico , 9B ,1,5,
30302030,Exenteração com osteotomia , 9A ,2,5,
30302048,Exenteração de órbita, 9C ,1,5,
30302056,"Exérese de tumor com abordagem craniofacial oncológica (tempo facial) pálpebra, cavidade orbitária e olhos", 11B ,4,7,
30302064,Fratura de órbita - redução cirúrgica , 9A ,1,3,
30302072,Fratura de órbita - redução cirúrgica e enxerto ósseo , 9C ,1,4,
30302080,Implante secundário de órbita, 5C ,1,3,
30302099,Microcirurgia para tumores orbitários, 11B ,2,7,
30302102,Reconstituição de paredes orbitárias, 9B ,1,5,
30302110,Reconstrução parcial da cavidade orbital - por estágio, 8C ,1,4,
30302129,Reconstrução total da cavidade orbital - por estágio, 9B ,1,5,
30302137,Tumor de órbita - exérese , 9C ,1,5,
30303010,Autotransplante conjuntival, 4B ,1,3,
30303028,Biópsia de conjuntiva, 2A ,,1,
30303044,Infiltração subconjuntival , 1B ,,0,
30303052,Plastica Conjuntiva, 4C ,1,3,
30303060,Pterígio - exérese, 3C ,,0,
30303079,Reconstituição de fundo de saco , 6B ,1,3,
30303087,Sutura de conjuntiva, 3A ,,0,
30303109,Tumor de conjuntiva - exérese , 3C ,,0,
30304016,Cauterização de córnea, 2A ,,0,
30304024,Ceratectomia superficial - monocular, 3C ,,3,
30304032,Corpo estranho da córnea - retirada, 2A ,,3,
30304040,PTK ceratectomia fototerapêutica - monocular , 7C ,1,3,
30304059,Recobrimento conjuntival , 3C ,,0,
30304067,Sutura de córnea (com ou sem hérnia de íris), 5C ,1,3,
30304075,Tarsoconjuntivoceratoplastia, 7C ,1,3,
30304083,Implante de anel intra-estromal (com diretriz definida pela ANS - nº 34) , 10C ,1,3,
30304091,Fotoablacao de superficie convencional - PRK (com diretriz definida pela ANS - nº 13) , 7C ,,0,
30304105,Delaminação corneana com fotoablação estromal - LASIK (com diretriz definida pela ANS - nº 13) , 9C ,,0,
30304156,Cross-linking (CXL) de colágeno corneano (com diretriz definida pela ANS - nº 121),10C,1,3,
30305012,Paracentese da câmara anterior , 3A ,,1,
30305020,Reconstrução da câmara anterior , 9B ,1,4,
30305039,Remoção de hifema , 7C ,1,3,
30305047,Retirada de corpo estranho da câmara anterior , 7C ,1,4,
30306019,Capsulotomia YAG ou cirúrgica, 5A ,,3,
30306027,Facectomia com lente intra-ocular com facoemulsificação, 10A ,1,5,
30306035,Facectomia com lente intra-ocular sem facoemulsificação, 9B ,1,4,
30306043,Facectomia sem implante, 7C ,1,3,
30306051,Fixação iriana de lente intra-ocular, 7C ,1,3,
30306060,Implante secundário / explante / fixação escleral ou iriana, 7C ,1,3,
30306078,Remoção de pigmentos da lente intra-ocular com yag-laser, 5A ,,3,
30306116,Reposicionamento de lentes intraoculares, 7A ,,3,
30307015,Biópsia de tumor via pars plana, 5A ,1,3,
30307023,Biópsia de vítreo via pars plana, 3C ,1,2,
30307031,Endolaser/Endodiatermia , 5A ,1,3,
30307040,Implante de silicone intravítreo, 5A ,1,3,
30307058,Infusão de perfluocarbono , 5A ,1,3,
30307066,Membranectomia EPI ou sub-retiniana, 7C ,1,3,
30307074,Retirada de corpo estranho do corpo vítreo, 7C ,1,3,
30307082,Retirada de óleo de silicone via pars plana, 8C ,,3,
30307090,Troca fluido gasosa , 5A ,1,3,
30307104,Vitrectomia a céu aberto - ceratoprótese, 10A ,1,5,
30307112,Vitrectomia anterior, 7C ,1,4,
30307120,Vitrectomia vias pars plana, 9C ,1,5,
30307139,Infusão Intravítrea de medicamento anti-inflamatório , 7C ,1,2,
30307147,Tratamento ocular quimioterápico com anti-angiogênico (por sessão)  (com diretriz definida pela ANS - nº 74) , 7C ,1,2,
30308011,Biópsia de esclera, 3A ,,1,
30308020,Enxerto de esclera (qualquer técnica), 9B ,,4,
30308038,Sutura de esclera, 7C ,,1,
30309018,Enucleação ou evisceração com ou sem implante , 7C ,1,3,
30309026,Injeção retrobulbar, 2A ,,1,
30309034,Reconstituição de globo ocular com lesão de estruturas intra-oculares, 9B ,1,5,
30310016,Biópsia de íris e corpo ciliar, 4B ,,1,
30310024,Cicloterapia - qualquer técnica , 5A ,1,2,
30310032,Cirurgias fistulizantes antiglaucomatosas, 8A ,1,4,
30310040,Cirurgias fistulizantes antiglaucomatosas com ou sem implantes de drenagem, 8C ,1,4,
30310059,Drenagem de descolamento de coróide , 5A ,1,4,
30310067,Fototrabeculoplastia (laser) , 5A ,,2,
30310075,Goniotomia ou trabeculotomia, 9B ,1,5,
30310083,Iridectomia (laser ou cirúrgica), 5A ,,2,
30310091,Iridociclectomia, 9C ,,5,
30310105,Sinequiotomia (cirúrgica) , 5A ,1,3,
30310113,Sinequiotomia (laser), 5A ,,3,
30310156,Revisão de cirurgia fistulizante antiglaucomatosa, 6A ,,4,
30311012,Biópsia de músculos , 3A ,,2,
30311020,Cirurgia com sutura ajustável, 7C ,1,4,
30311039,Estrabismo ciclo vertical/transposição - monocular - tratamento cirúrgico, 8A ,1,4,
30311047,Estrabismo horizontal - monocular - tratamento ciúrgico, 7C ,1,4,
30311055,Injeção de toxina botulínica - monocular , 3C ,,0,
30312019,Aplicação de placa radiativa episcleral , 7C ,1,3,
30312027,Biópsia de retina, 4B ,1,4,
30312035,Exérese de tumor de coróide e/ou corpo ciliar, 9C ,1,4,
30312043,Fotocoagulação (laser) - por sessão  - monocular , 5A ,,2,
30312051,Infusao de gas expansor, 4B ,,4,
30312060,Pancrioterapia periférica , 7A ,1,2,
30312078,Remoção de implante episcleral , 4B ,1,2,
30312086,Retinopexia com introflexão escleral, 9B ,1,5,
30312094,Retinopexia pneumática, 7A ,,3,
30312108,Retinopexia profilática (criopexia), 4B ,,2,
30312124,Pantofotocoagulação na retinopatia da prematuridade – binocular (com diretriz definida pela ANS - nº 59), 10C ,1,5,
30312132,Implante Intravítreo de polímero farmacológico de liberação controlada (com diretriz definida pela ANS nº 46), 9B ,1,3,
30312159,Termoterapia transpupilar (com diretriz definida pela ANS - nº 66), 9C ,1,4,
30313015,Cirurgia da glândula lacrimal, 7A ,1,4,
30313023,Dacriocistectomia - unilateral, 7A ,1,2,
30313031,Dacriocistorrinostomia com ou sem intubação - unilateral, 8C ,1,4,
30313040,Fechamento dos pontos lacrimais, 2A ,,0,
30313058,Reconstituição de vias lacrimais com silicone ou outro material, 7A ,1,4,
30313066,Sondagem das vias lacrimais - com ou sem lavagem, 2B ,,0,
30313074,Reconstituição de pontos lacrimais,3A,1,4,
30401011,Biópsia de pavilhão auricular, 2B ,,0,
30401020,Exérese de tumor com abordagem craniofacial oncológica pavilhão auricular (tempo facial), 11B ,4,7,
30401038,Exérese de tumor com fechamento primário , 3C ,2,2,
30401046,Outros defeitos congênitos que não a microtia, 9B ,1,3,
30401054,Reconstrução  de orelha - retoques, 5B ,1,2,
30401062,Reconstrução de unidade anatômica do pavilhão auricular - por estágio, 9B ,1,2,
30401070,Reconstrução total de orelha - único estágio, 8C ,3,5,
30401089,"Ressecção de tumor de pavilhão auricular, incluindo parte do osso temporal", 10A ,3,7,
30401097,Ressecção subtotal ou total de orelha, 5B ,2,3,
30401100,Tratamento cirúrgico de sinus pré-auricular, 5B ,1,1,
30402018,Aspiração auricular, 1C ,,1,
30402026,Biópsia (orelha externa), 3B ,,1,
30402034,Cisto pré-auricular (coloboma auris) - exérese-unilateral, 6B ,1,1,
30402042,"Corpos estranhos, pólipos ou biópsia - em consultório ", 3B ,,0,
30402050,"Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral", 4A ,,1,
30402069,Estenose de conduto auditivo externo - correção, 8A ,1,3,
30402077,Furúnculo - drenagem (ouvido), 2B ,,1,
30402085,Pericondrite de pavilhão - tratamento cirúrgico com desbridamento , 5B ,1,1,
30402093,Tumor benigno de conduto auditivo externo - exérese, 4A ,,1,
30403014,Cauterização de membrana timpânica, 1B ,,1,
30403030,Estapedectomia ou estapedotomia, 9B ,1,4,
30403049,Exploração e descompressão parcial do nervo facial intratemporal, 10A ,1,4,
30403057,Fístula perilinfática - fechamento cirúrgico , 6A ,1,3,
30403065,Glomus jugular - ressecção, 11C ,2,5,
30403073,Glomus timpânicus - ressecção, 9A ,1,4,
30403081,Mastoidectomia simples ou radical modificada, 9B ,1,4,
30403090,Ouvido congênito - tratamento cirúrgico, 10A ,2,4,
30403103,"Paracentese do tímpano - miringotomia, unilateral - em consultório", 2A ,,0,
30403111,Tímpano-mastoidectomia, 10C ,2,5,
30403120,Timpanoplastia com reconstrução da cadeia ossicular, 9B ,1,4,
30403138,Timpanoplastia tipo I - miringoplastia - unilateral, 8C ,1,3,
30403146,Timpanotomia exploradora - unilateral, 4A ,,2,
30403154,Timpanotomia para tubo de ventilação - unilateral, 6C ,,2,
30403162,"Paracentese do tímpano, unilateral, em hospital - anestesia geral", 4A ,,1,
30404010,"Doença de Meniere - tratamento cirúrgico - descompressão do saco endolinfático ou ""shunt""", 10B ,2,4,
30404029,Enxerto parcial intratemporal do nervo facial - do foramem estilo-mastóideo ao gânglio geniculado, 11A ,2,4,
30404037,Enxerto parcial intratemporal do nervo facial - do gânglio geniculado ao meato acústico interno, 11B ,2,5,
30404045,Enxerto total do nervo facial intratemporal, 11A ,2,5,
30404053,"Exploração e descompressão total do nervo facial (transmastóideo, translabiríntico, fossa média)", 11B ,2,6,
30404061,Implante coclear (exceto a protese) (com diretriz definida pela ANS - nº 33) , 11A ,2,6,
30404088,Labirintectomia (membranosa ou óssea) - sem audição, 11A ,1,4,
30404096,Neurectomia vestibular para fossa média ou posterior, 11A ,2,6,
30404100,Neurectomia vestibular translabiríntica - sem audição, 11B ,2,4,
30404126,Ressecção do osso temporal, 11B ,3,6,
30404134,Tumor do nervo acústico - ressecção via translabiríntica ou fossa média, 11B ,2,6,
30404177,Cirurgia para prótese auditiva percutânea ancorada no osso unilateral (primeira implantação ou substituição) (com diretriz definida pela ANS - nº 44), 11A ,2,5,
30501016,Abscesso ou hematoma de septo nasal - drenagem, 3B ,,2,
30501024,Abscesso ou hematoma de septo nasal - drenagem sob anestesia geral, 4A ,1,3,
30501040,Alongamento de columela, 7C ,1,3,
30501059,Biópsia de nariz, 2B ,,1,
30501067,Corneto inferior - cauterização linear - unilateral, 3B ,,1,
30501075,Corneto inferior - infiltração medicamentosa (unilateral), 2B ,,1,
30501083,Corpos estranhos - retirada em consultório (nariz), 2C ,,0,
30501091,Corpos estranhos - retirada sob anestesia geral / hospital (nariz), 3C ,,1,
30501113,Epistaxe - cauterização (qualquer técnica), 2B ,,3,
30501121,Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral, 9A ,1,3,
30501130,Epistaxe - cauterização das artérias etmoidais com microscopia - unilateral, 9A ,1,3,
30501148,Epistaxe - ligadura das artérias etmoidais - acesso transorbitário - unilateral, 9A ,1,4,
30501156,Epistaxe - tamponamento  antero-posterior, 4C ,1,2,
30501164,Epistaxe - tamponamento anterior, 3B ,,1,
30501172,Epistaxe - tamponamento antero-posterior sob anestesia geral, 5B ,1,3,
30501180,Exérese de tumor com abordagem craniofacial oncológica (tempo facial) pirâmide nasal, 11B ,4,7,
30501199,Exérese de tumor nasal por via endoscopica, 5B ,1,3,
30501202,Fechamento de fístula liquórica transnasal, 8B ,1,5,
30501210,Fístula liquórica - tratamento cirúrgico endoscópico intranasal, 8B ,1,5,
30501229,Fraturas dos ossos nasais - redução cirúrgica e gesso, 5B ,1,3,
30501237,Fraturas dos ossos nasais - redução incruenta e gesso, 5A ,,2,
30501245,Imperfuração coanal - correção cirúrgica intranasal, 9A ,1,3,
30501253,Imperfuração coanal - correção cirúrgica transpalatina, 9A ,1,3,
30501261,Ozena - tratamento cirúrgico, 8A ,1,2,
30501270,Perfuração do septo nasal - correção cirúrgica, 9A ,1,3,
30501288,Polipectomia - unilateral (nariz), 3C ,,2,
30501296,Reconstrução de unidade anatômica do nariz - por estágio, 9B ,1,3,
30501300,Reconstrução total de nariz - por estágio, 9B ,2,4,
30501318,Ressecção de tumores malignos transnasais, 8B ,1,5,
30501326,Rinectomia parcial, 5B ,2,4,
30501334,Rinectomia total, 7C ,2,4,
30501342,Rinoplastia reparadora, 8B ,1,4,
30501350,Rinosseptoplastia funcional, 10A ,1,5,
30501369,Septoplastia (qualquer técnica sem vídeo), 8B ,1,3,
30501377,Sinéquia nasal - ressecção unilateral - qualquer técnica, 2B ,,1,
30501385,Tratamento cirúrgico da atresia narinária, 6A ,1,3,
30501393,Tratamento cirúrgico de deformidade nasal congênita, 9B ,1,5,
30501407,Tratamento cirúrgico do rinofima, 5B ,1,3,
30501415,Tratamento cirúrgico reparador do nariz em sela, 9B ,1,3,
30501423,Tratamento de deformidade traumática nasal, 9A ,1,2,
30501431,Tumor intranasal - exérese por rinotomia lateral, 7A ,1,3,
30501440,Tumor intranasal - exérese por via transnasal, 6A ,1,3,
30501458,Turbinectomia ou turbinoplastia - unilateral, 3B ,1,1,
30501474,Corpos estranhos - retirada sob anestesia geral/hospital (nariz) - por videoendoscopia, 4A ,,2,
30501482,Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral por videoendoscopia, 10B ,1,4,
30501490,Imperfuração coanal - correção cirúrgica intranasal por videoendoscopia, 10B ,1,5,
30501547,Fratura de osso próprio de nariz - tratamento conservador,2C,,,
30502012,Angiofibroma - ressecção transmaxilar e/ou transpalatina , 9C ,3,6,
30502020,Antrostomia maxilar intranasal, 6A ,1,2,
30502039,Artéria maxilar interna - ligadura transmaxilar, 9A ,2,4,
30502047,Cisto naso-alveolar e globular - exérese , 5B ,1,2,
30502063,Descompressão transetmoidal do canal óptico, 10A ,2,4,
30502071,Etmoidectomia externa, 8A ,1,2,
30502080,Etmoidectomia intranasal, 8A ,1,2,
30502098,Exérese de tumor com abordagem craniofacial oncológica seios...(tempo facial), 11B ,4,7,
30502101,Exérese de tumor de seios paranasais por via endoscopica, 5B ,1,3,
30502110,Fístula oro-antral - tratamento cirúrgico (com diretriz definida pela ANS - nº 98), 8B ,1,3,
30502128,Fístula oronasal - tratamento cirúrgico (com diretriz definida pela ANS - nº 98), 8B ,1,2,
30502136,Maxilectomia incluindo exenteração de órbita, 10A ,3,5,
30502144,Maxilectomia parcial, 8B ,3,3,
30502152,Maxilectomia total, 9C ,3,6,
30502160,Pólipo antro-coanal de Killiam - exérese, 6A ,1,2,
30502179,Punção maxilar transmeática ou via fossa canina, 3B ,,1,
30502187,Ressecção de tumor benigno , 7C ,2,4,
30502195,Biópsia de seios paranasais - qualquer via, 4C ,,1,
30502209,Sinusectomia maxilar - via endonasal, 8A ,1,3,
30502217,Sinusectomia frontal com retalho osteoplástico ou via coronal, 8B ,1,3,
30502225,Sinusectomia fronto-etmoidal por via externa, 8B ,1,3,
30502233,Sinusectomia maxilar - via oral (Caldwell-Luc), 7C ,1,2,
30502241,Sinusectomia transmaxilar (Ermiro de Lima), 8A ,1,3,
30502250,Sinusotomia esfenoidal, 8A ,1,2,
30502268,Sinusotomia frontal intranasal, 8A ,1,2,
30502276,Sinusotomia frontal via externa, 8B ,1,2,
30502314,Etmoidectomia intranasal por videoendoscopia, 9B ,1,3,
30502322,Sinusectomia maxilar - via endonasal por videoendoscopia, 9B ,1,4,
30601010,Correção de deformidades da parede torácica, 10C ,2,5,
30601029,Costectomia, 8B ,1,2,
30601037,Esternectomia subtotal, 9C ,1,4,
30601045,Esternectomia total, 10B ,2,5,
30601053,Fechamento de pleurostomia, 5B ,1,3,
30601070,Mobilização de retalhos musculares ou do omento , 10B ,2,6,
30601088,Plumbagem extrafascial, 10A ,2,4,
30601096,Reconstrução da parede torácica (com ou sem prótese), 10B ,2,5,
30601100,Reconstrução da parede torácica com retalhos cutâneos, 10A ,1,4,
30601118,Reconstrução da parede torácica com retalhos musculares ou miocutâneos, 10A ,2,5,
30601126,Reconstrução da região esternal com retalhos musculares bilaterais, 10A ,3,6,
30601134,Ressecção de tumor do diafragma e reconstrução (qualquer técnica), 11A ,2,6,
30601142,Retirada de corpo estranho da parede torácica, 7C ,1,2,
30601150,Toracectomia, 10A ,2,6,
30601169,Toracoplastia (qualquer técnica), 10C ,2,5,
30601177,Toracotomia com biópsia, 9A ,1,4,
30601185,Toracotomia exploradora (excluídos os procedimentos intratorácicos), 8B ,1,4,
30601193,Toracotomia para procedimentos ortopédicos sobre a coluna vertebral, 9C ,2,5,
30601207,Tração esquelética do gradil costo-esternal (traumatismo), 9C ,1,2,
30601215,Tratamento cirúrgico de fraturas do gradil costal, 9C ,2,4,
30601223,Biópsia cirúrgica de costela ou esterno, 3C ,1,2,
30601231,Fratura luxação de esterno ou costela - redução incruenta, 2B ,,0,
30601240,Fratura luxação de esterno ou costela - tratamento cirúrgico, 8B ,1,3,
30601258,Osteomielite de costela ou esterno - tratamento cirúrgico, 5B ,1,2,
30601266,Punção biópsia de costela ou esterno, 3B ,,1,
30601290,Ressutura de parede torácica, 9C ,2,5,
30601304,Fratura de costela ou esterno - tratamento conservador, 1C ,,0,
30601312,Osteomielite de costela ou esterno - tratamento conservador,2C,,,
30602017,Biópsia incisional de mama, 3B ,1,2,
30602025,Coleta de fluxo papilar de mama, 1A ,,0,
30602041,Correção de inversão papilar - unilateral , 3B ,1,2,
30602050,Drenagem de abscesso de mama, 3A ,1,2,
30602068,Drenagem e/ou aspiração de seroma, 1B ,,1,
30602076,Exérese de lesão da mama por marcação estereotáxica ou roll, 8A ,1,3,
30602084,Exérese de mama supra-numerária - unilateral, 5A ,1,2,
30602092,Exérese de nódulo , 5A ,1,2,
30602106,Fistulectomia de mama, 5A ,1,3,
30602114,Ginecomastia - unilateral , 7C ,1,2,
30602130,Linfadenectomia axilar, 8B ,2,4,
30602149,Mastectomia radical ou radical modificada - qualquer técnica, 10B ,2,5,
30602157,Mastectomia simples, 9A ,1,3,
30602165,Mastectomia subcutânea e inclusão da prótese, 10B ,1,5,
30602173,Mastoplastia em mama oposta após reconstrução da contralateral, 8A ,1,5,
30602181,Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama) , 3A ,,2,
30602190,Quadrantectomia e linfadenectomia axilar, 9B ,1,4,
30602203,Quadrantectomia - ressecção segmentar , 7C ,1,3,
30602211,Reconstrução da placa aréolo mamilar - unilateral, 5A ,1,3,
30602238,Reconstrução mamária com retalho muscular ou miocutâneo - unilateral, 10A ,2,6,
30602246,Reconstrução mamária com retalhos cutâneos regionais, 9C ,2,5,
30602254,Reconstrução parcial da mama pós-quadrantectomia, 8A ,2,4,
30602262,Reconstrução da mama com prótese e/ou expansor, 9C ,2,5,
30602289,Ressecção do linfonodo sentinela / torácica lateral , 8A ,2,4,
30602297,Ressecção do linfonodo sentinela / torácica medial, 8C ,2,4,
30602300,Ressecção dos ductos principais da mama - unilateral, 5B ,1,3,
30602319,Retirada da válvula após colocação de expansor permanente , 4C ,1,3,
30602327,Substituição de prótese , 4C ,1,3,
30602335,"Biópsia percutânea com agulha grossa, em consultório", 3B ,,0,
30602343,Linfadenectomia por incisão extra-axilar, 10C ,2,5,
30701015,Abdominal ou hipogástrico - transplantes cutâneos , 12C ,2,6,
30701023,Antebraço  - transplantes cutâneos , 13A ,2,6,
30701031,Axilar - transplantes cutâneos , 12C ,2,6,
30701040,Couro cabeludo - transplantes cutâneos , 12C ,2,6,
30701058,Deltopeitoral - transplantes cutâneos , 12C ,2,6,
30701066,Digitais (da face volar e látero-cubital dos dedos médio e anular da mão) - transplantes cutâneos , 12C ,2,5,
30701074,Digital do hallux - transplantes cutâneos , 12B ,1,5,
30701082,Dorsal do pé - transplantes cutâneos , 12C ,2,6,
30701090,Escapular - transplantes cutâneos , 12C ,2,6,
30701104,Femoral - transplantes cutâneos , 12B ,2,6,
30701112,Fossa poplítea - transplantes cutâneos , 12B ,2,6,
30701120,Inguino-cural - transplantes cutâneos , 12C ,2,6,
30701139,Intercostal - transplantes cutâneos , 12B ,2,6,
30701147,Interdigital da 1ª comissura dos dedos do pé - transplantes cutâneos , 12B ,2,6,
30701155,Outros transplantes cutâneos, 12B ,1,5,
30701163,Paraescapular, 12B ,2,6,
30701171,Retroauricular, 12C ,2,6,
30701180,Temporal , 12C ,2,6,
30701198,Transplante cutâneo com microanastomose, 13A ,3,6,
30701201,"Transplante cutâneo sem microanastomose, ilha neurovascular ", 8B ,2,4,
30701210,Transplante miocutâneo com microanastomose, 13A ,3,6,
30702011,Grande dorsal (latissimus dorsi) - transplantes músculo-cutâneos com microanastomoses vasculares, 12C ,2,6,
30702020,Grande glúteo (gluteus maximus) , 12B ,2,6,
30702038,Outros transplantes músculo-cutâneos, 12B ,2,6,
30702046,Reto abdominal (rectus abdominis) , 12C ,2,6,
30702054,Reto interno (gracilis) - transplantes músculo-cutâneos com microanastomoses vasculares, 12C ,2,6,
30702062,Serrato maior (serratus) - transplantes músculo-cutâneos com microanastomoses vasculares, 12C ,2,6,
30702070,Tensor da fascia lata (tensor fascia lata) - transplantes músculo-cutâneos com microanastomoses vasculares, 12C ,2,6,
30702089,Trapézio (trapezius) , 12B ,2,6,
30703018,Bíceps femoral (biceps femoris), 12B ,2,6,
30703026,Extensor comum dos dedos (extensor digitorum longus) , 10A ,1,6,
30703034,Extensor próprio do dedo gordo (extensor hallucis longus) , 9C ,1,5,
30703042,Flexor curto plantar (flexor digitorum brevis) , 12A ,2,6,
30703050,Grande dorsal (latissimus dorsi) - transplantes musculares com microanastomoses vasculares, 12B ,2,6,
30703069,Grande peitoral (pectoralis major), 12B ,2,6,
30703077,Músculo pédio (extensor digitorum brevis) , 12B ,1,5,
30703085,"Os músculos latissimus dorsi, gracilis, rectus femoris, tensor fascia lata, flexor digitorum brevis, quando transplantados com sua inervação e praticada a microneurorrafia com finalidade de restaurar função e sensibilidade, serão considerados retalhos neurovasculares livres e terão acréscimo do porte", 3B ,,1,
30703107,Primeiro radial externo (extensor carpi radialis longus) , 12B ,1,5,
30703115,Reto anterior (rectus femoris) , 12C ,2,6,
30703123,Reto interno (gracilis) - transplantes musculares com microanastomoses vasculares, 12C ,2,6,
30703131,Sartório (sartorius) , 12C ,2,6,
30703140,Semimembranoso (semimembranosus) , 12C ,2,6,
30703158,Semitendinoso (semitendinosus), 12C ,2,6,
30703166,Serrato maior (serratus) - transplantes musculares com microanastomoses vasculares, 12C ,2,6,
30703174,Supinador longo (brachioradialis), 12B ,1,5,
30703182,Tensor da fascia lata (tensor fascia lata) - transplantes musculares com microanastomoses vasculares, 12C ,2,6,
30704014,Costela , 12C ,2,6,
30704022,Ilíaco , 12C ,2,6,
30704030,Osteocutaneo de iliaco, 12C ,2,6,
30704049,Osteocutaneos de costela, 13A ,2,6,
30704057,Osteomusculocutâneo de costela, 13A ,2,6,
30704065,Outros transplantes ósseos e osteomusculocutâneos , 13A ,2,6,
30704073,Perônio ou fíbula, 13A ,2,6,
30704081,Transplante ósseo vascularizado (microanastomose), 13A ,1,6,
30705010,"Autotransplante de dois retalhos  musculares combinados, isolados e associados entre si, ligados por um único pedículo ", 13A ,2,7,
30705029,"Autotransplante de dois retalhos cutâneos combinados, isolados e associados entre si, ligados por um único pedículo vascular ", 13A ,2,7,
30705037,"Autotransplante de dois retalhos,  um  cutâneo  combinado a um muscular,  isolados  e associados entre si, ligados por um único pedículo vascular", 13A ,2,7,
30705045,"Autotransplante de dois retalhos, um cutâneo combinado a retalho osteomuscular, isolados e associados entre sí, ligados por um único pedículo vascular ", 13A ,2,7,
30705053,Autotransplante de epiplon, 13A ,2,7,
30705061,"Autotransplante de outros retalhos,  isolados  entre  si, e associados mediante um único pedículo vascular comuns aos retalhos ", 13A ,2,7,
30705070,"Autotransplante de três retalhos, um cutâneo separado, combinado a outros dois retalhos musculares isolados e associados, ligados por um único pedículo vascular", 13A ,2,7,
30705100,"Reimplante de segmentos distais do membro superior, com ressecção segmentar ", 13A ,2,7,
30706017,Reimplante do membro inferior do nível médio proximal da perna até a coxa, 13A ,3,6,
30706025,Reimplante do membro inferior do pé até o terço médio da perna , 13A ,3,6,
30706033,"Reimplante do membro superior, do nível médio do antebraço até o ombro", 13A ,3,6,
30707013,Transplante articular de metatarsofalângica para a mão, 13A ,2,6,
30707021,Transplante de 2º pododáctilo para mão, 13A ,3,6,
30707030,Transplante de dedos do pé para a mão, 13A ,3,6,
30707048,Transplante do 2º pododáctilo para o polegar, 13A ,2,6,
30707056,Transplante do hallux para polegar, 13A ,3,6,
30707064,Transplante de dois pododáctilos para a mão, 13A ,2,6,
30709016,Instalação de halo craniano, 3A ,,2,
30709024,Tração cutânea , 1B ,,1,
30709032,Tração transesquelética (por membro), 2A ,,1,
30710014,Retirada de fios ou pinos metálicos transósseos , 3B ,,1,
30710022,"Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas ", 3B ,1,2,
30710030,Retirada de placas , 3C ,1,2,
30710049,Retirada de próteses de substituição de pequenas articulações , 6A ,1,3,
30710057,Retirada de fixadores externos , 3B ,,2,
30710065,Retirada de prótese de substituição (grandes e médias articulações), 12A ,2,7,
30711010,Imobilizações não-gessadas (qualquer segmento), 1A ,,0,
30711029,Imobilização de membro inferior , 1B ,,0,
30711037,Imobilização de membro superior , 1A ,,0,
30712017,Áxilo-palmar ou pendente, 1B ,,0,
30712025,Bota com ou sem salto, 1B ,,0,
30712033,Colar, 1B ,,0,
30712041,Colete, 1C ,,0,
30712050,Cruro-podálico, 1C ,,0,
30712068,Dupla abdução ou Ducroquet, 1C ,,0,
30712076,Halo-gesso, 4A ,,0,
30712084,Inguino-maleolar, 1C ,,0,
30712092,Luva, 1B ,,0,
30712106,Minerva ou Risser para escoliose, 2C ,,0,
30712114,Pelvipodálico, 2C ,,0,
30712122,Spica-gessada , 2B ,,0,
30712130,Tipo Velpeau, 1C ,,0,
30712149,Tóraco-braquial, 2C ,,0,
30713021,Biópsia óssea, 2B ,,2,
30713030,Biópsias percutânea sinovial ou de tecidos moles, 2B ,,2,
30713048,Enxertos em outras pseudartroses, 7C ,1,4,
30713064,Manipulação articular sob anestesia geral, 3B ,,1,
30713072,Retirada de enxerto ósseo, 3B ,1,1,
30713137,Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem, 2A ,,0,
30713145,Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem, 2A ,,0,
30713153,Artroscopia para diagnóstico com ou sem biópsia sinovial, 5C ,1,3,
30714010,Corpo estranho intra-articular - tratamento cirúrgico, 3C ,1,2,
30714028,Corpo estranho intra-ósseo - tratamento cirúrgico, 3C ,1,2,
30714036,Corpo estranho intramuscular - tratamento cirúrgico, 3C ,1,2,
30715016,Artrodese da coluna com instrumentação por segmento, 10B ,2,6,
30715024,Artrodese de coluna via anterior ou póstero lateral - tratamento cirúrgico, 10B ,2,6,
30715032,Biópsia da coluna, 5B ,1,2,
30715040,Biópsia de corpo vertebral com agulha, 3B ,1,2,
30715059,Cirurgia de coluna por via endoscopica, 11A ,2,7,
30715067,Cordotomia - mielotomia, 10B ,2,6,
30715075,Costela cervical - tratamento cirúrgico, 8B ,1,3,
30715083,Derivação lombar externa, 6A ,1,3,
30715091,Descompressão medular e/ou cauda equina, 9C ,2,5,
30715105,Dorso curvo / escoliose / giba costal - tratamento cirúrgico, 11A ,2,6,
30715113,Espondilolistese - tratamento cirúrgico, 10A ,2,5,
30715121,Fratura de coluna sem gesso - tratamento conservador, 2C ,,0,
30715130,Fratura do cóccix - redução incruenta, 3A ,,2,
30715148,Fratura do cóccix - tratamento cirúrgico, 7C ,1,2,
30715156,Fratura e/ou luxação de coluna vertebral - redução incruenta, 5B ,1,2,
